tweet_id,content,post_date,relevant,final_stance,final_sentiment,final_children
A624,"@AlanaMattos16 Não sou a favor do lockdown. Máscara sempre procurei usar por entender que é uma prevenção, mesmo que haja dúvida. Mas acompanho sim os questionamentos e a discussão da ciência a respeito do assunto. Acredito que a vacina precisa ser disponibilizada a todos, não obrigatória. ✌🏼",2020-11-05,1,unfavorable,unclear,false
A845,"CARIOCAS EM GRANDE RISCO NA PANDEMIA\n\nA taxa de letalidade da Covid-19 na cidade do Rio, de 10,7%, é uma das maiores do mundo! Precisamos manter o cuidado! Veja os dados no painel Monitora Covid-19, da Fiocruz.  #DeputadaMarthaRocha #coronavirus #RJ",2020-09-02,0,"","",""
A1877,"Para não ter aqui prefeito como Bolsonaro em sua irresponsabilidade quanto a vida das pessoas na pandemia, que lute pela vacina acessível a toda a população,investimentos em educação e saúde pública, que valorize e respeite o servidor público e tenha políticas de inclusão social",2020-10-26,1,favorable,negative,false
A1278,"Celular chinês para postar asneiras pode? Póóóóóóde!\n\nSó não pode vacina para salvar vidas de brasileiros. ",2020-10-22,1,favorable,negative,false
A1095,"Foram 600 mortes, só no dia de hoje. O Brasil ficou fora do esforço global para a produção da vacina. O presidente continua perdido em seu mundo bizarro, aglomerando gente, agredindo jornalistas e atuando em aliança com o vírus em favor da morte e do caos. #BastaBolsonaro",2020-05-05,1,favorable,negative,false
A408,"O país está avançando no combate ao Coronavírus, com boas notícias sobre o avanço dos testes de vacinas para a doença, logo, não é preciso causar pânico! Seguindo as recomendações sanitárias, as pessoas têm o direito de se manifestar, isso é viver numa democracia! ",2020-07-23,1,favorable,positive,false
A288,"Sendo eleita prefeita de Curitiba    NÃO OBRIGAREI NINGUÉM TOMAR VACINA DO COVID.\nadotarei protocolo de prevenção, atendimento e tratamento precoce.\nSe a doença começou em Março como pode já estar pronta uma vacina? Acorda Brasil, não somos cobaias.\n#MarisaLobo70 \n@jairbolsonaro ",2020-10-23,1,unfavorable,negative,false
A436,"Parar estudos para verificar resultados é comum. O problema é que, no Brasil sob Bolsonaro, até vacinação e atuação da Anvisa viraram não só objetos de disputa, mas de possível instrumentalização. Quem perde é a sociedade que precisa da vacina contra covid e a democracia. ",2020-11-10,1,favorable,negative,false
A995,"Covid-19: Vacinas chegam neste sábado ao Brasil para início de testes  ",2020-07-18,1,favorable,positive,false
A485,"Bolsonaro é o principal culpado pelas mais de 155 mil vidas perdidas para o Coronavírus. Resultado do negacionismo  consciente e criminoso do genocida. Não quer a vacina chinesa e aposta na vacina de Oxford que tem composto básico fabricado na China. #ForaBolsonaro",2020-10-23,1,favorable,negative,false
A1548,"""Nenhum prefeito tem prazer em fechar um estabelecimento [...] da minha parte vou colocar todos os recursos da prefeitura para adquirir a vacina. Vamos fazer um esforço absurdo para as empresas voltarem a funcionar, sem prejudicar a saúde de ninguém"" #DebateFecomércio",2020-12-11,1,favorable,positive,false
A1369,"Na minha opinião, a posição de Jair Bolsonaro na pandemia é uma posição GENOCIDA! Ele é o principal responsável pelas mais de 155 mil mortes. Como prefeito, vou ofertar a vacina para imunizar toda a população. #OrlandoNoUol #Vote65",2020-10-22,1,favorable,negative,false
A612,"@anexo_doc É isso mesmo. E se eu for Prefeito vou garantir que Porto Alegre tenha as vacinas para todo mundo o quanto antes. ✌🏼",2020-10-18,1,favorable,positive,false
A469,"Olá, pessoal! Depois de 10 dias em isolamento, saindo por uma boa causa: levar Dona Rosa ao 'drive-thru' para a vacinação contra a influenza. Faça o mesmo com seus pais e avós! Um ótimo dia para vocês! Deus abençoe!… ",2020-03-27,1,favorable,positive,false
A51,"Tô feliz com os anúncios sobre a Coronavac e as vacinas da Pfizer e da Moderna. Resultados preliminares, mas promissores. Alento em meio ao aumento de infecções e internações. Se depender de nós, a vacina não será objeto de disputa política. É pela vida e saúde dos brasileiros!",2020-11-18,1,favorable,positive,false
A483,"Como prefeito vou, junto com a Marklize, fazer uma ampla campanha para vacinar nossas mulheres contra o HPV. \nPela vida das mulheres, peço teu voto no #Zé13 , para mudar essa realidade para melhor.\n\n#ZeRicardoeMarklize #ZéRicardoPrefeito #MarklizeVice #HomemDaKombi #VamosCombi ",2020-10-03,1,unclear,,
A1187,"Como prefeito, vou comprar a primeira vacina aprovada e disponível para imunizar 100% da população e se necessário ajudar as outras cidades da região metropolitana. Isso é empatia e compromisso com a vida. Vacina não pode ser tema de disputa política.",2020-10-21,1,favorable,positive,false
A1078,"Existem várias razões para que essa vacina contra o Covid não seja obrigatória, além da defesa da liberdade\nSimplesmente não há número suficiente para todos\nEntão não há de se ter obrigatoriedade, nem tão pouco restrições a quem não fizer uso.\n#STFcancelado",2020-12-21,1,unfavorable,negative,false
A815,"Acompanhamos, neste sábado, em Senador Camará, a 26ª edição do programa Prefeitura Mais Perto de Você. A ação contou com a presença de mais de 20 órgãos municipais, que ofereceram atividades e prestaram diversos serviços, como vacinação e encaminhamento para vagas de emprego. ",2020-02-01,1,favorable,positive,false
A941,"Quero celebrar os 120 anos da @fiocruz . Parabenizá-la pelo excelente trabalho em defesa da vida, em especial em tempo de pandemia. É parceira fundamental na construção do Plano de Ação de Enfrentamento do Convid 19 nas Favelas. Fiocruz é saúde pública de qualidade p/ tod@s 🌻",2020-05-25,0,"","",""
A925,"Há 100 anos, na gripe espanhola, o mundo vivia tempos difíceis, o acesso à informação era limitado, milhões de pessoas morreram, não havia vacina para o vírus, mas mesmo assim conseguimos superar a pandemia. Apesar da OMS e da torcida do contra, desta vez não será diferente. ",2020-08-03,1,unclear,negative,false
A1438,"O Brasil é o terceiro país com maior número de casos de Covid-19, está atrás apenas dos EUA e da Índia. São quase 192 mil mortos e o governo Bolsonaro por meio da Anvisa dificulta aprovação da vacina aos laboratórios concorrentes. Não temos como salvar vidas. #ForaBolsonaro",2020-12-29,1,favorable,negative,false
A994,"Covid-19: Instituto Butantan começa a testar vacina chinesa em 20 de julho  ",2020-07-06,1,favorable,unclear,false
A711,"É importante entender a capacidade de transmissão do Coronavírus que é muito rápida. Ainda não temos uma vacina e o vírus vai ficar entre nós por meses, teremos que nos adaptar para um ano diferente. #PoaContraOCorona ❤️ ",2020-04-06,1,favorable,negative,false
A1770,"10.Entrar em contato com a embaixada da China a fim de solicitar do governo chinês a doação de respiradores para São Luís\n11.Antecipar a cobertura vacinal da gripe sazonal, a fim de evitar que os idosos tenham as duas enfermidades (a gripe sazonal e o COVID-19)",2020-03-17,1,favorable,positive,false
A3,"Chega a ser inacreditável que o governo esteja fazendo campanha CONTRA a vacinação. Um verdadeiro crime contra a saúde pública e a vida.",2020-09-01,1,favorable,negative,false
A361,"#CuritibaContraVírus Amanhã anteciparemos a terceira fase da campanha de #VacinaçãoContraGripe, agora destinada a crianças (bebês) de 6 a 11 meses e 29 dias e pessoas com deficiência. ",2020-05-03,1,unclear,,
A1589,"Dentro de instantes o vice-presidente dos Estados Unidos será vacinado ao vivo, aqui no Brasil os dois “papangús” já afirmaram que NÃO irão tomar vacina. Hilário...",2020-12-18,1,favorable,negative,false
A594,"Perguntaram pro Bolsonaro sobre a demora na vacinação no Brasil. A resposta? ""Não dou bola pra isso"". Ele fala tantos absurdos que nem surpreende mais, mas não podemos perder a capacidade de nos indignarmos. Quando isso acontecer, ele estará vencendo. O #ForaBolsonaro é urgente! ",2020-12-26,1,favorable,negative,false
A1614,"1.A Inglaterra já marcou data p/ começar a vacinar contra a covid. ⅓ dos ingleses devem ser imunizados numa primeira etapa. No Brasil, ainda não temos nem sequer um Plano de Vacinação.O Governo e o Ministério da Saúde não sabem quem vai ser vacinado nem quando isso vai acontecer ",2020-12-01,1,favorable,negative,false
A374,"Queremos todas as vacinas, para atender todos os brasileiros. Vacina não tem partido, nem nacionalidade, nem dono. O único partido da Imunização é a Saúde de Todos. #ImunizaçãoJá #BrasilLivreDoVirus",2020-12-17,1,favorable,positive,false
A1087,"A ciência como aliada à medicina revolucionou o combate a doenças e epidemias. O Brasil tem bons resultados na erradicação de muitas delas, que antes acometiam a população, com vacinas distribuídas através dos postos de saúde. A vacinação não protege só você mas toda a comunidade",2020-09-03,1,favorable,positive,false
A799,"Ex-ministros da Saúde: Vacina para todos já! ",2020-12-09,1,favorable,positive,false
A1245,"Primeiro-ministro do Reino Unido, Boris Johnson, é transferido para a UTI. O coronavírus não é uma gripezinha! #FiqueEmCasa",2020-04-06,0,"","",false
A975,"Morte de bebê por sarampo resulta de erro de governos e de quem não se vacinou ",2020-02-15,1,unclear,negative,false
A1286,"Isso prova que Dir. do Butantan estava falando a verdade e, mais uma vez, @jairbolsonaro mentiu para todos!\n\nInaceitável @anvisa_oficial ser utilizada de forma política pelo patrão.\n\nVou tomar as medidas cabíveis p/ punir os responsáveis por esse absurdo!\n",2020-11-10,1,favorable,negative,false
A1947,"Neste sábado, a China injetou sua primeira vacina de combate ao coronavírus em voluntários. \n\nO primeiro grupo de voluntários do experimento está limitado a residentes de #Wuhan, entre 18 e 60 anos de idade.\n\nJuntos vamos superar esta epidemia! ",2020-03-21,1,favorable,positive,false
A661,"Começa amanhã a Campanha Nacional de Vacinação contra a Poliomielite e a Multivacinação. Levem seus filhos e filhas para tomar a vacina, não podemos retroceder e expor nossas crianças. Vacinação também é um ato de amor.\n\n",2020-10-04,1,unclear,positive,false
A652,"Há esperança! Hoje, foi aplicada a primeira dose da vacina chinesa Coronavac, desenvolvida em parceria com o Instituto Butantan, em voluntários do RS. O primeiro a receber a vacina no Hospital São Lucas, em Porto Alegre, foi o médico intensivista Luciano Marini. #portoalegre ",2020-08-08,1,favorable,positive,false
A1780,"O governador @FlavioDino não está medindo esforços para combater o #Covid19 em nosso estado. Ontem, o Fantástico mostrou que ele está aderindo, por meio do Consórcio Nordeste, a um protocolo preliminar com a Rússia, que está em etapa experimental da vacina. ",2020-08-17,1,favorable,positive,false
A1909,"Estamos esperando que comece mesmo, senhor Governador! Pessoas estão morrendo, todos os dias! E queremos vacinas, gratuitas, para todos e todas ! ",2020-12-22,1,favorable,negative,false
A760,"Hj no dia do gari a minha homenagem a esses trabalhadores essenciais e lembrar que a prefeitura ao os manter expostos não os incluiu nos grupos prioritários para vacinar contra a gripe! ",2020-05-16,1,,negative,
A617,"@amandamoraes500 Amanda, os recursos do fundo municipal da saúde são compostos com verbas federais. Claro que será feito em articulação com o governo federal. Em 30 segundos fica difícil detalhar. O objetivo é priorizar, tão logo a vacina estiver disponível.",2020-10-18,1,favorable,negative,false
A899,"@fabioandradebat @OGloboPolitica Não estou falando de velocidade nas estradas. A pauta é uma vacina que ainda não foi suficientemente testada.",2020-10-21,1,unfavorable,negative,false
A1657,"""O resquício de uma mentalidade colonial precisa acabar"": o diretor-geral da OMS condenou o que chamou de ""comentários racistas"" de pesquisadores franceses que sugeriram que uma vacina contra o coronavírus fosse testada na África.  ",2020-04-07,1,unclear,negative,false
A959,"Minha solidariedade aos familiares do senador Arolde de Oliveira (PSD),q não resistiu à Covid 19. Na Alerj, o coronavírus tb vitimou os deputados Gil Viana (PSL) e João Peixoto (DC). São mais de 155 mil pessoas q perderam a vida. Não é uma gripezinha. Bolsonaro,a vacina é urgente",2020-10-22,1,favorable,negative,false
A1740,"É assim desde o início. Disse que a pandemia era uma gripezinha. Desdenhou do potencial destrutivo desse vírus e a resposta é a situação que enfrentamos. Laboratórios pelo mundo pesquisando, alguns países iniciam amanhã campanhas de vacinação e o Brasil não tem sequer um plano.",2020-12-07,1,favorable,negative,false
A573,"Em um país com mais de 180 mortes por COVID-19 e sem plano de vacinação o melhor a se fazer é sair sem máscara e provocar aglomeração como faz Jair Bolsonaro. 😑 ",2020-12-15,1,favorable,negative,false
A431,"VACINA: Temos que fazer necessariamente a vacinação. É uma questão de saúde pública. Não cabe ao presente dizer que não vai comprar vacina porque ela vem da China. O bolsonarismo é, talvez, o maior risco à saúde do brasileiro mesmo com Covid.\n\n#tocomrenato50 #Eleicoes2020",2020-10-27,1,favorable,negative,false
A1298,"Sobre o plano nacional de Vacinação do Ministério da Saúde q novamente teve sua apresentação adiada.\n\n“É um esboço rudimentar, com tantas fragilidades e lacunas que dificilmente poderá ser seguido” ",2020-12-09,1,unclear,negative,false
A478,"Desde o inicio dessa pandemia, sempre acreditei que a Comunidade Científica, com uso de alta tecnologia, encontraria remédios e vacinas, e se não curar do #CoronaVirus vai ajudar muito.",2020-04-11,1,favorable,positive,false
A1935,"O presidente precisa entender que, nesse momento, ideologia não vale nada. O que vale é a ciência e a necessidade de imunizar a população. À frente da prefeitura, vou trabalhar para trazer a vacina o mais rápido possível para o povo de Goiânia.\n#vacinacovid ",2020-10-21,1,favorable,negative,false
