,id,tweet_id,post_date,content,relevant,final_stance,final_sentiment,final_children
15,1241,A1240,2020-12-21,"Enquanto assistimos às cenas de países iniciando a vacinação, nos deparamos hj com um relatório do TCU que prova o que sabíamos: o governo Bolsonaro não possui um plano mínimo de imunização. Vamos aos pontos:",True,favorable,negative,false
16,1298,A1297,2020-12-09,"É só propaganda!\n\nNão apresentou plano de vacinação.\nNão comprou seringas, agulhas e nem algodão!\nNão tem contrato c/ a Pfeizer e refuta a vacina do Butantan\n\nNenhuma vacina foi  aprovada pela Anvisa.\nEstamos no dia 10 de dezembro\n\nGoverno promete vacinar ainda este mês. Como?.",True,favorable,negative,false
17,137,A136,2020-10-23,NACIONAL | A discussão correta é a de como podemos preservar a vida daqueles que são mais atingidos pela pandemia. A vacinação em massa é a solução científica para a classe trabalhadora\n,True,favorable,unclear,false
18,1396,A1395,2020-12-11,"Já há no @STF_oficial inclusive pedido de @FlavioDino para que os estados possam comprar a vacina diretamente, vez que a União tem atuado, deliberada e irresponsavelmente, contra a vacina, o que causará danos terríveis ao Brasil - em vidas e na economia. 👇🏿",True,favorable,negative,false
19,1449,A1448,2020-12-16,O Brasil se tornou uma grande referência mundial em programas de vacinação por conta da infraestrutura nacional criada no combate às doenças ao longo dos anos. Esta liderança do governo federal deve ser mantida também na vacinação contra a COVID-19. 👇,True,favorable,positive,false
20,1451,A1450,2020-12-30,"Desejo a todos os aracajuanos um feliz ano novo. Vivemos um momento difícil e espero que, em 2021, os brasileiros sejam vacinados para darmos um passo adiante. Tenho a esperança de que vamos vencer a pandemia e fazer mais e melhor pela população. #FanFM",True,favorable,positive,false
21,1462,A1461,2020-12-18,Hoje tem #TBT com um vídeo da campanha. Eu fui o único candidato a abordar o tema da vacina e a dizer que iria fazer a vacinação em Aracaju. Hoje isso se torna um imperativo para se superar a pandemia da Covid-19. #Vacinaparatodosjá ,True,favorable,positive,false
22,1577,A1576,2020-08-07,"MP DA VACINA\n1 - ""A sugestão foi apresentada pela Comissão Externa da Câmara que acompanha que acompanha as medidas de combate ao coronavírus, após visita de quinze deputados da Comissão ao Instituto Bio-Manguinhos, na terça-feira (28)"". ",True,unclear,unclear,false
23,1596,A1595,2020-09-08,"É uma irresponsabilidade pensar em retomar as aulas presenciais durante uma pandemia. Não há segurança para os trabalhadores da educação nem para o conjunto da comunidade escolar, tanto na rede pública quanto privada. Só depois da vacina. ",True,favorable,negative,true
24,1644,A1643,2020-12-21,"Atenção: Mais de 1.100.000 de pessoas já receberam vacina contra o COVID em 4 países diferentes.\n\nAs vacinas causaram 3 reações alérgicas relevantes, os 3 já se recuperaram e estão bem.\n\nNesse intervalo de tempo o COVID matou mais de 90 mil pessoas.\n\nLembrem dessa comparação.",True,favorable,negative,false
25,403,A402,2020-12-02,"Inglaterra começa a vacinar os ingleses contra Convid-19 na próxima semana.O Brasil nem seringas diz ter. Grande tecnologia: fabricar seringas!!! Meu Deus.Sem contar com as querelas do Bolsonaro com o Dória,dificultando a aquisição de vacinas pelo Instituto Butantã, em São Paulo.",True,favorable,negative,false
26,982,A981,2020-05-16,"“Adoraria dizer que existe uma cura milagrosa e uma vacina efetiva contra o Covid, mas infelizmente ainda não estamos lá”, acrescenta. “Elas provavelmente levarão meses a anos para serem desenvolvidas, e precisamos ter paciência”.",True,unclear,negative,false
27,987,A986,2020-05-31,Rússia planeja testes clínicos da vacina contra o coronavírus em duas semanas ,True,favorable,positive,false
28,474,A473,2020-11-18,Os ricos trouxeram a covid pro Brasil. Os pobres foram os que mais morreram. Adivinhem quem serão os primeiros vacinados? ,True,favorable,negative,false
29,490,A489,2020-11-14,A vacina é o #Vote13! ,False,,,
30,699,A698,2020-12-24,"2020 foi um ano muito difícil para todas e todos nós. Obrigada por terem lutado e resistido junto com a gente. Nas festas de final de ano, cuidem daqueles que vocês amam. Um 2021 com muita saúde, vacina e união. Um beijo e boa luta. ❤️ ",True,favorable,positive,false
31,786,A785,2020-08-03,"Não é só a Covid que trás sofrimento às favelas: a @agencia_fiocruz lançou o boletim ""Radar Covid-19 Favelas"", que traz informações sobre saneamento, distribuição de água e coleta de lixo. Na 1ª edição, as favelas do Catiri, Jacarezinho, Manguinhos e Maré.",False,,,
32,853,A852,2020-12-03,"A audiência pública da Comissão de Saúde, que presido, com a @SaudeGovRJ trouxe esclarecimentos, mas não o suficiente. Fomos informados que o Rio irá seguir o planejamento do Governo Federal e usar apenas vacinas do SUS. Mas ainda faltam respostas. #Covid19",True,favorable,negative,false
33,867,A866,2020-04-06,My thoughts and prayers are with @BorisJohnson and his family as he continues to receive treatment in hospital.\n\nThis horrific virus does not discriminate. Anyone can get it. Anyone can spread it. Please #StayHomeSaveLives,False,,,
34,608,A607,2020-07-21,"URGENTE: Vacina de Oxford para covid-19 é segura e induz resposta imune, dizem cientistas\n ",True,favorable,positive,false
35,985,A984,2020-05-24,Esperança de vacina ,True,favorable,positive,false
36,244,A243,2020-12-16,Ótima noticia! A farmacêutica americana Pfizer protocolou hoje resultados de testes da fase 3 de sua vacina contra a covid-19 na Anvisa. Os documentos agora passam por análise do órgão.  ,True,favorable,positive,false
37,241,A240,2020-12-08,"O grande assunto hoje em todo o mundo é a vacina. O Reino Unido deu a largada para a imunização contra a Covid-19. É a esperança que renasce!! A imunização significa a nossa vida de volta, em familia, com amigos! Que a ciência seja vitoriosa e que tudo dê certo! ",True,favorable,positive,false
38,1850,A1849,2020-12-10,"Aquisição de vacinas que cumprirem todas as etapas de aprovação, em número suficiente para imunizar todos os brasileiros e rito sumário na análise pela Anvisa, para garantir, o quanto antes, o início da vacinação, coordenada pela União, através do PNI. O foco tem que ser este...",True,favorable,negative,false
39,1198,A1197,2020-11-03,“Um tema tão sério quanto a vacina não pode virar disputa política. O Bolsonaro quer ir contra o básico. E o Dória quer surfar em cima da vacina. Os dois estão errados. Vou trazer os melhores especialistas e fazer um amplo programa de vacinação.” #BoulosNoRatinho,True,favorable,negative,false
40,1281,A1280,2020-10-23,"Pressionada, Anvisa autoriza importação dos primeiros 6 milhões de doses da vacina chinesa. Brasileiros têm direito à imunização. Só assim vida voltará ao normal e economia poderá reabrir totalmente. Não é na base do achismo. É da ciência e racionalidade.",True,favorable,negative,false
41,139,A138,2020-12-17,POR UM PLANO EMERGENCIAL DE VACINAÇÃO! VACINA PARA TODOS JÁ! | O Brasil é o terceiro país com mais casos de COVID-19 e o segundo em número de mortos\n\nLeia mais  ,True,favorable,negative,false
42,1429,A1428,2020-12-08,"Se houver demanda?? Esse é o ministro da saúde do nosso país, com centenas de milhares de mortos. Inaceitável! Uma vergonha!\n\nInacreditável: Pazuello diz que comprará mais vacinas ""se houver demanda""  via @UOLNoticias @UOL",True,favorable,negative,false
43,1461,A1460,2020-12-11,"A vacina e a ampla imunização da sociedade não são questões ideológicas, são medidas sanitárias necessárias e vitais para controlar uma pandemia com consequências trágicas para todos nós, como é a COVID-19. #Vacinaparatodosjá! ",True,favorable,negative,false
44,1481,A1480,2020-08-03,A vacina já está na terceira e última fase de testes. Esperança para todos nós! 🇧🇷\n.\n.\n#DepFederalNicoletti\n#NicolettiFederal\n#PraRoraimaAvançar,True,favorable,positive,false
45,1515,A1514,2020-10-23,"Independente de qm estará prefeito, de governos, entes externos, Floripa tem q garantir imunização dos seus habitantes. Por isso colocamos no orçamento de 2021 recursos necessários p/ compra de vacina, q tenha autorização do MS, e que devolva a nossa gente uma vida normal. 👇🏻👇🏻👇🏻",True,favorable,negative,false
46,1533,A1532,2020-12-19,"@ttatirezende CoronaVac, do @butantanoficial ❤️",True,favorable,positive,false
47,1588,A1587,2020-12-05,"Bora apoiar a troca de Fogos por Vacina? @CarlosAlbertoFM @kelpslimaRN @senadorjean @DepEzequielRN @fatimabezerra @carloseduardo12 @HermanoMorais @tiagorebolo @NevinhaValentim @cglss77 @NatalSalve Assinem a petição e/ou divulguem, pfv!  ",True,favorable,unclear,false
48,1606,A1605,2020-05-19,"3/ Ou seja: em meio à pandemia, a prioridade de Trump é defender os interesses econômicos das grandes empresas norte-americanas. \n\nJá a China comprometeu-se com a OMS a liberar quaisquer vacinas para todos. \n\n@PTnoSenado @FlavioDino @SenadorRogerio @senadorhumberto ",True,favorable,negative,false
49,1689,A1688,2020-12-09,Acesse na íntegra a nossa Nota de Posicionamento \nsobre a vacina contra a #COVID19 ➡️  @CinthiaCRibeiro @GeanLoureiro @EdvaldoNogueira @conasemsoficial @undime,True,unclear,unclear,false
50,1729,A1728,2020-10-22,"Não bastasse todas as milhares de vidas que perdemos na pandemia, o fato de sermos um dos países mais afetados no mundo pela Covid-19 por conta do negacionismo e agora nem vacina Bolsonaro quer comprar por politicagem e preconceito.",True,favorable,negative,false
51,1798,A1797,2020-12-18,É preciso esclarecer que a grande maioria dos insumos para medicamentos produzidos no Brasil vem da China. São eles os maiores produtores de biotecnologia do mundo.\n\nDefendemos vacina para todos. É preciso salvar vidas!,True,favorable,positive,false
52,391,A390,2020-11-10,Estamos entrando num nível de barbárie inimaginável. O capitão de Brasília comemora a morte de um voluntário pela ciência no teste da vacina. Toda vitória de Bolsonaro é uma derrota nossa e o prêmio desse genocida é a contagem dos mortos.,True,favorable,negative,false
53,334,A333,2020-10-21,Vacina é um Direito! ,True,favorable,positive,false
54,989,A988,2020-06-08,Uma oportunidade como essa nos permite ter acesso à vacina contra o novo coronavírus com mais facilidade e rapidez.\nAvançamos cada dia mais nessa luta! ✅,True,favorable,positive,false
55,610,A609,2020-07-29,Rússia afirma ter vacina contra Covid-19 aprovada em duas semanas ,True,unclear,positive,0
56,550,A549,2020-11-10,"Mesmo após diretor do Butantan ter afirmado que morte do voluntário não tem relação com os testes da coronavac, Bolsonaro segue espalhando fake news e jogando com a vida das pessoas. Isso só mostra a urgência de derrotarmos esse projeto obscurantista e da morte! #ForaBolsonaro",True,favorable,negative,false
57,1367,A1366,2020-10-21,"A mídia informa que Bolsonaro anunciou que não comprará a vacina contra a Covid Coronavac, fabricada na China. Se isso se confirmar, estará materializada a responsabilidade direta do presidente pela não imunização e, consequentemente, pelas mortes que vierem a ocorrer. 👇🏿",True,favorable,negative,false
58,2047,A2046,2020-04-09,"O MonitoraCovid-19, sistema que integra dados sobre o novo coronavírus no Brasil e no mundo, tem acompanhado como anda a adesão às medidas de isolamento social recomendadas pela OMS.\n\n#Fiocruz\n#covid19",False,,,
59,1725,A1724,2020-12-09,"Aproveitei  para anunciar que vamos lançar, já na transição de gestão, o nosso comitê próprio, com o objetivo de desenhar um caminho para otimizar o processo de vacinação da nossa população, uma eventual aquisição de vacina e um plano de priorização das faixas de risco. +",True,favorable,positive,false
60,1682,A1681,2020-12-16,"Vários países no mundo já iniciam o processo de imunização de suas populações. O Brasil, segue a linha negacionista e de total falta de comando por parte do governo Bolsonaro. O @psol50 defende vacinação para todos os brasileiros, já! Assine e compartilhe\n",True,favorable,negative,false
61,991,A990,2020-06-13,"Na corrida pela vacina para covid-19, apenas um estudo está na fase de testagem maciça ",True,unclear,negative,false
62,249,A248,2020-10-21,"Boa, @PDT_Nacional!🌹🇧🇷 #agoraé12 \n\n""Mais uma vez o PDT asssume uma posição de vanguarda na oposição, ao ingressar com uma ADI no STF para garantir que estados e municípios tenham autonomia para determinar vacinação compulsória contra a COVID-19.""\n\n",True,favorable,positive,false
63,1427,A1426,2020-11-11,Anvisa autoriza retomada de testes da CoronaVac  via @UOLNoticias @UOL,True,favorable,positive,false
64,1762,A1761,2020-03-29,✅ VACINAÇÃO H1N1 RETOMADA \n\nA partir desta segunda-feira (30) e será: \n\n• Por ordem alfabética; \n• Idosos pela manhã (8h às 12h);\n• Crianças à tarde (13h às 17h);\n• Drive Thru (sem sair do carro) das 8h às 16h somente para idosos. ,True,favorable,positive,false
65,1068,A1067,2020-10-20,"Como prefeito de Salvador, meu compromisso será com a liberdade e saúde das pessoas. Caso eleito, não haverá obrigatoriedade de vacinas sem a devida comprovação, e o uso de máscaras será opcional. Colocaremos à disposição o tratamento precoce nas unidades de saúde da cidade. 2️⃣8️⃣",True,unfavorable,positive,false
66,625,A624,2020-11-05,"@AlanaMattos16 Não sou a favor do lockdown. Máscara sempre procurei usar por entender que é uma prevenção, mesmo que haja dúvida. Mas acompanho sim os questionamentos e a discussão da ciência a respeito do assunto. Acredito que a vacina precisa ser disponibilizada a todos, não obrigatória. ✌🏼",True,unfavorable,unclear,false
67,846,A845,2020-09-02,"CARIOCAS EM GRANDE RISCO NA PANDEMIA\n\nA taxa de letalidade da Covid-19 na cidade do Rio, de 10,7%, é uma das maiores do mundo! Precisamos manter o cuidado! Veja os dados no painel Monitora Covid-19, da Fiocruz.  #DeputadaMarthaRocha #coronavirus #RJ",False,,,
68,1878,A1877,2020-10-26,"Para não ter aqui prefeito como Bolsonaro em sua irresponsabilidade quanto a vida das pessoas na pandemia, que lute pela vacina acessível a toda a população,investimentos em educação e saúde pública, que valorize e respeite o servidor público e tenha políticas de inclusão social",True,favorable,negative,false
69,1279,A1278,2020-10-22,Celular chinês para postar asneiras pode? Póóóóóóde!\n\nSó não pode vacina para salvar vidas de brasileiros. ,True,favorable,negative,false
70,1096,A1095,2020-05-05,"Foram 600 mortes, só no dia de hoje. O Brasil ficou fora do esforço global para a produção da vacina. O presidente continua perdido em seu mundo bizarro, aglomerando gente, agredindo jornalistas e atuando em aliança com o vírus em favor da morte e do caos. #BastaBolsonaro",True,favorable,negative,false
71,409,A408,2020-07-23,"O país está avançando no combate ao Coronavírus, com boas notícias sobre o avanço dos testes de vacinas para a doença, logo, não é preciso causar pânico! Seguindo as recomendações sanitárias, as pessoas têm o direito de se manifestar, isso é viver numa democracia! ",True,favorable,positive,false
72,289,A288,2020-10-23,"Sendo eleita prefeita de Curitiba    NÃO OBRIGAREI NINGUÉM TOMAR VACINA DO COVID.\nadotarei protocolo de prevenção, atendimento e tratamento precoce.\nSe a doença começou em Março como pode já estar pronta uma vacina? Acorda Brasil, não somos cobaias.\n#MarisaLobo70 \n@jairbolsonaro ",True,unfavorable,negative,false
73,437,A436,2020-11-10,"Parar estudos para verificar resultados é comum. O problema é que, no Brasil sob Bolsonaro, até vacinação e atuação da Anvisa viraram não só objetos de disputa, mas de possível instrumentalização. Quem perde é a sociedade que precisa da vacina contra covid e a democracia. ",True,favorable,negative,false
74,996,A995,2020-07-18,Covid-19: Vacinas chegam neste sábado ao Brasil para início de testes  ,True,favorable,positive,false
75,486,A485,2020-10-23,Bolsonaro é o principal culpado pelas mais de 155 mil vidas perdidas para o Coronavírus. Resultado do negacionismo  consciente e criminoso do genocida. Não quer a vacina chinesa e aposta na vacina de Oxford que tem composto básico fabricado na China. #ForaBolsonaro,True,favorable,negative,false
76,1549,A1548,2020-12-11,"""Nenhum prefeito tem prazer em fechar um estabelecimento [...] da minha parte vou colocar todos os recursos da prefeitura para adquirir a vacina. Vamos fazer um esforço absurdo para as empresas voltarem a funcionar, sem prejudicar a saúde de ninguém"" #DebateFecomércio",True,favorable,positive,false
77,1370,A1369,2020-10-22,"Na minha opinião, a posição de Jair Bolsonaro na pandemia é uma posição GENOCIDA! Ele é o principal responsável pelas mais de 155 mil mortes. Como prefeito, vou ofertar a vacina para imunizar toda a população. #OrlandoNoUol #Vote65",True,favorable,negative,false
78,613,A612,2020-10-18,@anexo_doc É isso mesmo. E se eu for Prefeito vou garantir que Porto Alegre tenha as vacinas para todo mundo o quanto antes. ✌🏼,True,favorable,positive,false
79,470,A469,2020-03-27,"Olá, pessoal! Depois de 10 dias em isolamento, saindo por uma boa causa: levar Dona Rosa ao 'drive-thru' para a vacinação contra a influenza. Faça o mesmo com seus pais e avós! Um ótimo dia para vocês! Deus abençoe!… ",True,favorable,positive,false
80,52,A51,2020-11-18,"Tô feliz com os anúncios sobre a Coronavac e as vacinas da Pfizer e da Moderna. Resultados preliminares, mas promissores. Alento em meio ao aumento de infecções e internações. Se depender de nós, a vacina não será objeto de disputa política. É pela vida e saúde dos brasileiros!",True,favorable,positive,false
81,484,A483,2020-10-03,"Como prefeito vou, junto com a Marklize, fazer uma ampla campanha para vacinar nossas mulheres contra o HPV. \nPela vida das mulheres, peço teu voto no #Zé13 , para mudar essa realidade para melhor.\n\n#ZeRicardoeMarklize #ZéRicardoPrefeito #MarklizeVice #HomemDaKombi #VamosCombi ",True,unclear,positive,0
82,1188,A1187,2020-10-21,"Como prefeito, vou comprar a primeira vacina aprovada e disponível para imunizar 100% da população e se necessário ajudar as outras cidades da região metropolitana. Isso é empatia e compromisso com a vida. Vacina não pode ser tema de disputa política.",True,favorable,positive,false
83,1079,A1078,2020-12-21,"Existem várias razões para que essa vacina contra o Covid não seja obrigatória, além da defesa da liberdade\nSimplesmente não há número suficiente para todos\nEntão não há de se ter obrigatoriedade, nem tão pouco restrições a quem não fizer uso.\n#STFcancelado",True,unfavorable,negative,false
84,816,A815,2020-02-01,"Acompanhamos, neste sábado, em Senador Camará, a 26ª edição do programa Prefeitura Mais Perto de Você. A ação contou com a presença de mais de 20 órgãos municipais, que ofereceram atividades e prestaram diversos serviços, como vacinação e encaminhamento para vagas de emprego. ",True,favorable,positive,false
85,942,A941,2020-05-25,"Quero celebrar os 120 anos da @fiocruz . Parabenizá-la pelo excelente trabalho em defesa da vida, em especial em tempo de pandemia. É parceira fundamental na construção do Plano de Ação de Enfrentamento do Convid 19 nas Favelas. Fiocruz é saúde pública de qualidade p/ tod@s 🌻",False,,,
86,926,A925,2020-08-03,"Há 100 anos, na gripe espanhola, o mundo vivia tempos difíceis, o acesso à informação era limitado, milhões de pessoas morreram, não havia vacina para o vírus, mas mesmo assim conseguimos superar a pandemia. Apesar da OMS e da torcida do contra, desta vez não será diferente. ",True,unclear,negative,false
87,1439,A1438,2020-12-29,"O Brasil é o terceiro país com maior número de casos de Covid-19, está atrás apenas dos EUA e da Índia. São quase 192 mil mortos e o governo Bolsonaro por meio da Anvisa dificulta aprovação da vacina aos laboratórios concorrentes. Não temos como salvar vidas. #ForaBolsonaro",True,favorable,negative,false
88,995,A994,2020-07-06,Covid-19: Instituto Butantan começa a testar vacina chinesa em 20 de julho  ,True,favorable,unclear,false
89,712,A711,2020-04-06,"É importante entender a capacidade de transmissão do Coronavírus que é muito rápida. Ainda não temos uma vacina e o vírus vai ficar entre nós por meses, teremos que nos adaptar para um ano diferente. #PoaContraOCorona ❤️ ",True,favorable,negative,false
90,1771,A1770,2020-03-17,"10.Entrar em contato com a embaixada da China a fim de solicitar do governo chinês a doação de respiradores para São Luís\n11.Antecipar a cobertura vacinal da gripe sazonal, a fim de evitar que os idosos tenham as duas enfermidades (a gripe sazonal e o COVID-19)",True,favorable,positive,false
91,4,A3,2020-09-01,Chega a ser inacreditável que o governo esteja fazendo campanha CONTRA a vacinação. Um verdadeiro crime contra a saúde pública e a vida.,True,favorable,negative,false
92,362,A361,2020-05-03,"#CuritibaContraVírus Amanhã anteciparemos a terceira fase da campanha de #VacinaçãoContraGripe, agora destinada a crianças (bebês) de 6 a 11 meses e 29 dias e pessoas com deficiência. ",True,unclear,positive,0
93,1590,A1589,2020-12-18,"Dentro de instantes o vice-presidente dos Estados Unidos será vacinado ao vivo, aqui no Brasil os dois “papangús” já afirmaram que NÃO irão tomar vacina. Hilário...",True,favorable,negative,false
94,595,A594,2020-12-26,"Perguntaram pro Bolsonaro sobre a demora na vacinação no Brasil. A resposta? ""Não dou bola pra isso"". Ele fala tantos absurdos que nem surpreende mais, mas não podemos perder a capacidade de nos indignarmos. Quando isso acontecer, ele estará vencendo. O #ForaBolsonaro é urgente! ",True,favorable,negative,false
95,1615,A1614,2020-12-01,"1.A Inglaterra já marcou data p/ começar a vacinar contra a covid. ⅓ dos ingleses devem ser imunizados numa primeira etapa. No Brasil, ainda não temos nem sequer um Plano de Vacinação.O Governo e o Ministério da Saúde não sabem quem vai ser vacinado nem quando isso vai acontecer ",True,favorable,negative,false
96,375,A374,2020-12-17,"Queremos todas as vacinas, para atender todos os brasileiros. Vacina não tem partido, nem nacionalidade, nem dono. O único partido da Imunização é a Saúde de Todos. #ImunizaçãoJá #BrasilLivreDoVirus",True,favorable,positive,false
97,1088,A1087,2020-09-03,"A ciência como aliada à medicina revolucionou o combate a doenças e epidemias. O Brasil tem bons resultados na erradicação de muitas delas, que antes acometiam a população, com vacinas distribuídas através dos postos de saúde. A vacinação não protege só você mas toda a comunidade",True,favorable,positive,false
98,800,A799,2020-12-09,Ex-ministros da Saúde: Vacina para todos já! ,True,favorable,positive,false
99,1246,A1245,2020-04-06,"Primeiro-ministro do Reino Unido, Boris Johnson, é transferido para a UTI. O coronavírus não é uma gripezinha! #FiqueEmCasa",False,,,false
100,976,A975,2020-02-15,Morte de bebê por sarampo resulta de erro de governos e de quem não se vacinou ,True,unclear,negative,false
101,1287,A1286,2020-11-10,"Isso prova que Dir. do Butantan estava falando a verdade e, mais uma vez, @jairbolsonaro mentiu para todos!\n\nInaceitável @anvisa_oficial ser utilizada de forma política pelo patrão.\n\nVou tomar as medidas cabíveis p/ punir os responsáveis por esse absurdo!\n",False,favorable,negative,false
102,1948,A1947,2020-03-21,"Neste sábado, a China injetou sua primeira vacina de combate ao coronavírus em voluntários. \n\nO primeiro grupo de voluntários do experimento está limitado a residentes de #Wuhan, entre 18 e 60 anos de idade.\n\nJuntos vamos superar esta epidemia! ",True,favorable,positive,0
103,662,A661,2020-10-04,"Começa amanhã a Campanha Nacional de Vacinação contra a Poliomielite e a Multivacinação. Levem seus filhos e filhas para tomar a vacina, não podemos retroceder e expor nossas crianças. Vacinação também é um ato de amor.\n\n",True,unclear,positive,false
104,653,A652,2020-08-08,"Há esperança! Hoje, foi aplicada a primeira dose da vacina chinesa Coronavac, desenvolvida em parceria com o Instituto Butantan, em voluntários do RS. O primeiro a receber a vacina no Hospital São Lucas, em Porto Alegre, foi o médico intensivista Luciano Marini. #portoalegre ",True,favorable,positive,false
105,1781,A1780,2020-08-17,"O governador @FlavioDino não está medindo esforços para combater o #Covid19 em nosso estado. Ontem, o Fantástico mostrou que ele está aderindo, por meio do Consórcio Nordeste, a um protocolo preliminar com a Rússia, que está em etapa experimental da vacina. ",True,favorable,positive,false
106,1910,A1909,2020-12-22,"Estamos esperando que comece mesmo, senhor Governador! Pessoas estão morrendo, todos os dias! E queremos vacinas, gratuitas, para todos e todas ! ",True,favorable,negative,false
107,761,A760,2020-05-16,Hj no dia do gari a minha homenagem a esses trabalhadores essenciais e lembrar que a prefeitura ao os manter expostos não os incluiu nos grupos prioritários para vacinar contra a gripe! ,True,unclear,negative,0
108,618,A617,2020-10-18,"@amandamoraes500 Amanda, os recursos do fundo municipal da saúde são compostos com verbas federais. Claro que será feito em articulação com o governo federal. Em 30 segundos fica difícil detalhar. O objetivo é priorizar, tão logo a vacina estiver disponível.",True,favorable,negative,false
109,900,A899,2020-10-21,@fabioandradebat @OGloboPolitica Não estou falando de velocidade nas estradas. A pauta é uma vacina que ainda não foi suficientemente testada.,True,unfavorable,negative,false
110,1658,A1657,2020-04-07,"""O resquício de uma mentalidade colonial precisa acabar"": o diretor-geral da OMS condenou o que chamou de ""comentários racistas"" de pesquisadores franceses que sugeriram que uma vacina contra o coronavírus fosse testada na África.  ",True,unclear,negative,false
111,960,A959,2020-10-22,"Minha solidariedade aos familiares do senador Arolde de Oliveira (PSD),q não resistiu à Covid 19. Na Alerj, o coronavírus tb vitimou os deputados Gil Viana (PSL) e João Peixoto (DC). São mais de 155 mil pessoas q perderam a vida. Não é uma gripezinha. Bolsonaro,a vacina é urgente",True,favorable,negative,false
112,1741,A1740,2020-12-07,"É assim desde o início. Disse que a pandemia era uma gripezinha. Desdenhou do potencial destrutivo desse vírus e a resposta é a situação que enfrentamos. Laboratórios pelo mundo pesquisando, alguns países iniciam amanhã campanhas de vacinação e o Brasil não tem sequer um plano.",True,favorable,negative,false
113,574,A573,2020-12-15,Em um país com mais de 180 mortes por COVID-19 e sem plano de vacinação o melhor a se fazer é sair sem máscara e provocar aglomeração como faz Jair Bolsonaro. 😑 ,True,favorable,negative,false
